_b_grade,_b_age,_b_hours,_b_ttl_exp,_b_tenure,_b_cons
.056353368,-.0057269414,.0018158902,.028135872,.010980828,.96537399
.057817392,-.0087691816,.002003182,.026718693,.0094994474,1.0796204
.05500371,-.002189433,-.00012897434,.024459099,.01238618,.86246222
.053820528,-.0049688737,-.000062965773,.027828034,.0097901095,1.0037155
.054505125,-.0086419517,.0014464543,.027039111,.013620015,1.1116086
.053469323,-.0060013952,.00018462374,.025914535,.0082610473,1.0615051
.056193847,-.0074087158,.00010714628,.02540119,.010276088,1.082621
.053334601,-.0090984944,.00078794401,.026983509,.010740685,1.1572223
.055279296,-.0059619304,-.00010983399,.029719807,.0091982484,.99845374
.057646308,-.0061129453,.0025212304,.024817638,.010251712,.98694307
.056018818,-.00030367318,.00072936487,.023343334,.012353096,.79455566
.061871007,-.0049923384,.00062634901,.025019303,.011853862,.8735342
.060511101,.0041412367,.0036051101,.027610581,.0091902576,.4611778
.052189682,-.0047285925,-.00036072484,.029008724,.0085134041,1.0110611
.063981324,-.0042825192,-.0014105812,.033219662,.0094179222,.86559284
.056590945,-.0083993366,-.00098872208,.031646762,.0089093214,1.0676951
.063843898,-.0021609734,.0011925284,.023830475,.012863802,.78324461
.051509149,-.0078377826,.0027236436,.023487156,.014781501,1.1284609
.063546211,-.0042225253,.0022980198,.026096204,.01020528,.74928766
.063821934,-.0027872294,.0028153083,.027721049,.011447692,.66292506
.065096095,-.0051128338,-.000013315618,.027156161,.011001647,.86896324
.057735972,-.0018797184,.0027983696,.029503683,.011870751,.77512658
.056524746,-.0091484534,.0036718028,.030871462,.0089184986,1.0252727
.063970409,-.0071063237,-.00044997741,.028654082,.01389957,.93495733
.061988533,-.0031987834,.0017159934,.027666183,.010201123,.80744368
.068802431,-.0030276896,.0017798498,.031410944,.0088322768,.63147324
.055327956,-.0028706817,-.00033014276,.024222374,.012927325,.94926995
.062893301,-.0027745774,-.0015595877,.031632524,.010518219,.80311197
.050061792,-.0060717319,.0010709246,.026408326,.011004689,1.0815322
.048179626,-.012200027,.0014381077,.022131689,.014831006,1.3852923
.055172287,-.0056035803,.0016174754,.025749134,.012355356,.91753912
.059157081,-.0058821966,.00079377816,.029484209,.0098295221,.87953049
.06544625,-.0054130605,.00055588677,.024564141,.011615016,.87236327
.050512474,-.0098612495,.00038727719,.029207986,.0083205793,1.221904
.064714171,-.0039185467,-.0013488121,.029762112,.011912852,.8714503
.057218149,-.0035065908,-.000083268525,.025938058,.010036584,.99628824
.05822276,-.0047285208,.0016862969,.02553406,.0093546016,.89928043
.060279377,-.00013515181,.0015089852,.027766028,.011407304,.62211502
.059279818,-.005030727,-.0007888815,.025463978,.013537706,.98621386
.057652306,-.0010091856,-.0001602165,.023548622,.015637798,.85431749
.05378668,-.0083621386,-.0010872125,.027035277,.009676164,1.1605552
.061125137,-.0076249703,.00064619165,.024255166,.012370809,1.0166854
.062793799,-.0020234194,.00015346339,.024721222,.012583798,.80991101
.05934513,.0010985477,-.00012319375,.027664928,.012160723,.73728597
.059643164,-.0094452137,.00030349125,.029435355,.011735518,1.0529076
.061461993,-.0069702999,.00081248058,.026239712,.013104889,.99340683
.05584418,-.0043524513,.00053791923,.027168896,.011325494,.93005443
.055000488,-.0098291459,.0025144888,.025870251,.010706699,1.0756369
.070802562,-.006350473,.0013545697,.026141847,.010588521,.82808733
.052505132,-.0092960689,.0044575119,.025099825,.011747665,1.0793129
.064657576,-.00016803395,.00053147401,.023318686,.014133356,.69675791
.060818758,-.008809357,.0026102252,.024650073,.0099042729,1.0189607
.05775369,-.0037354077,.00018609596,.031355672,.013993168,.83212572
.063763462,-.0051063499,.000036754216,.020617194,.015665075,.92399549
.059701674,-.010769752,-.00053061562,.028569723,.01030782,1.1553736
.056682635,-.010297053,.00089551805,.024292979,.014814876,1.2155565
.057697721,-.003360213,-.0010907101,.026059696,.012624136,.94957125
.059072182,-.0029523701,5.6817153e-06,.029347373,.012820129,.8760854
.064244226,-.0025924144,.0017961402,.02303797,.014628792,.76769149
.058838598,-.010064184,-.0011288084,.027171366,.011835341,1.1610515
.05839888,-.0022314666,-.0012068261,.028815772,.0096962648,.92871106
.059435569,-.0064107748,.0011812559,.027962934,.0068682893,1.0196031
